y,x
5,259
9,323
23,379
42,432
63,470
87,509
121,544
160,566
200,570
245,563
280,542
306,509
329,470
348,432
368,379
381,322
387,260
62,190
84,172
122,168
148,179
170,190
244,193
267,182
291,174
319,183
340,200
205,262
207,287
207,317
207,349
162,384
185,393
208,397
232,392
250,385
86,258
109,242
138,242
160,261
138,271
111,270
253,262
277,243
304,243
321,260
304,271
278,273
110,455
141,449
171,446
205,449
244,447
269,449
294,458
272,480
248,488
205,496
169,492
136,481
156,468
181,464
205,464
226,465
248,470
227,475
205,475
182,474
